Square Inc. retrofit2, apache2
Square Inc. okhttp, apache2
AndroidX Navigation Library, apache2
AndroidX AppCompat Library, apache2
AndroidX Core Library, apache2
AndroidX Lifecycle Library, apache2
AndroidX Constraint Layout Library, apache2
AndroidX Annotation Library, apache2
AndroidX Legacy Support Library, apache2
AndroidX Reycler View Library, apache2
google material design icons, apache2
journeyapps ZXing Android Embedded, apache2
sentry, sentry
Google Inc. gson, apache2
jetbrains kotlin stdlib, apache2
reactivex rxandroid, apache2
reactivex rxjava, apache2